Expiry,ZCRate
0.02,0.0268
0.25,0.0264
0.5,0.0251
0.75,0.0239
1,0.0233
1.25,0.0228
1.5,0.0226
1.75,0.0225
2,0.0224
2.5,0.0225
3,0.0226
3.5,0.0227
4,0.0228
4.5,0.0229
5,0.023
