Expiry,Strike,Call,Put,Repo+Dividend,Forward,Volatility
0.024657534246575342,7925.00,151.83,27.92,-0.007517217245385707,8048.999043996446,0.14788616321229447
0.024657534246575342,7950.00,132.52,33.59,-0.007517217245385707,8048.999043996446,0.1449392641756519
0.024657534246575342,7975.00,114.13,40.18,-0.007517217245385707,8048.999043996446,0.1418015351093985
0.024657534246575342,8000.00,96.79,47.82,-0.007517217245385707,8048.999043996446,0.13850701442630248
0.024657534246575342,8025.00,81.15,57.17,-0.007517217245385707,8048.999043996446,0.13613567730195203
0.024657534246575342,8050.00,66.88,67.88,-0.007517217245385707,8048.999043996446,0.13371052600067104
0.024657534246575342,8075.00,54.26,80.24,-0.007517217245385707,8048.999043996446,0.13165256416620716
0.024657534246575342,8100.00,43.41,94.38,-0.007517217245385707,8048.999043996446,0.13012505792654738
0.024657534246575342,8125.00,34.19,110.13,-0.007517217245385707,8048.999043996446,0.1288947504711427
0.024657534246575342,8150.00,26.35,127.28,-0.007517217245385707,8048.999043996446,0.1275458351605457
0.024657534246575342,8200.00,14.92,165.81,-0.007517217245385707,8048.999043996446,0.12575510547600702
0.10136986301369863,7800.00,326.16,60.36,-0.0015167825548122388,8066.502622049302,0.15843819319005586
0.10136986301369863,7850.00,286.62,70.69,-0.0015167825548122388,8066.502622049302,0.1541394098942349
0.10136986301369863,7900.00,249.02,82.96,-0.0015167825548122388,8066.502622049302,0.1500812093318031
0.10136986301369863,7950.00,213.43,97.24,-0.0015167825548122388,8066.502622049302,0.14604875538800713
0.10136986301369863,8000.00,180.80,114.47,-0.0015167825548122388,8066.502622049302,0.14272918881322233
0.10136986301369863,8050.00,150.79,134.33,-0.0015167825548122388,8066.502622049302,0.13952229814183678
0.10136986301369863,8100.00,123.92,157.33,-0.0015167825548122388,8066.502622049302,0.1367285485454564
0.10136986301369863,8150.00,100.31,183.59,-0.0015167825548122388,8066.502622049302,0.13433663570501025
0.10136986301369863,8200.00,79.90,213.05,-0.0015167825548122388,8066.502622049302,0.13225441679267386
0.10136986301369863,8250.00,62.56,245.58,-0.0015167825548122388,8066.502622049302,0.13040869293274374
0.10136986301369863,8300.00,48.15,281.04,-0.0015167825548122388,8066.502622049302,0.1288076502263104
0.1780821917808219,7800.00,376.15,98.38,0.006251968481574022,8079.0098880417645,0.15674661477411447
0.1780821917808219,7850.00,338.37,110.37,0.006251968481574022,8079.0098880417645,0.15323200361470085
0.1780821917808219,7900.00,302.20,123.99,0.006251968481574022,8079.0098880417645,0.1498870130373204
0.1780821917808219,7950.00,268.30,139.87,0.006251968481574022,8079.0098880417645,0.14707128550907628
0.1780821917808219,8000.00,235.53,156.88,0.006251968481574022,8079.0098880417645,0.14378952172252432
0.1780821917808219,8050.00,205.43,176.55,0.006251968481574022,8079.0098880417645,0.1411035860266507
0.1780821917808219,8100.00,177.51,198.41,0.006251968481574022,8079.0098880417645,0.13855051217644052
0.1780821917808219,8150.00,152.10,222.79,0.006251968481574022,8079.0098880417645,0.136297120751219
0.1780821917808219,8200.00,128.99,249.45,0.006251968481574022,8079.0098880417645,0.13414847831167787
0.1780821917808219,8300.00,89.94,309.97,0.006251968481574022,8079.0098880417645,0.13032924300622642
0.1780821917808219,8400.00,60.31,379.90,0.006251968481574022,8079.0098880417645,0.12733951729828027
0.3506849315068493,7800.00,353.34,211.02,0.12318635514935215,7943.496592808515,0.14999254054302924
0.3506849315068493,7850.00,321.68,228.94,0.12318635514935215,7943.496592808515,0.14759212659661952
0.3506849315068493,7900.00,291.40,248.26,0.12318635514935215,7943.496592808515,0.1452345673857023
0.3506849315068493,7950.00,262.67,269.12,0.12318635514935215,7943.496592808515,0.14295711493794883
0.3506849315068493,8000.00,235.72,291.76,0.12318635514935215,7943.496592808515,0.14083974933151666
0.3506849315068493,8050.00,210.12,315.74,0.12318635514935215,7943.496592808515,0.13864398193465952
0.3506849315068493,8100.00,186.77,341.98,0.12318635514935215,7943.496592808515,0.13683773350502967
0.3506849315068493,8150.00,165.22,370.02,0.12318635514935215,7943.496592808515,0.13517161258238058
0.3506849315068493,8200.00,145.32,399.71,0.12318635514935215,7943.496592808515,0.13356257514169198
0.3506849315068493,8300.00,110.71,464.28,0.12318635514935215,7943.496592808515,0.13069849557837726
0.3506849315068493,8400.00,82.67,535.42,0.12318635514935215,7943.496592808515,0.12829217404025064
0.6,7800.00,474.75,289.72,0.0004736953166162496,7987.506054807454,0.15606498604010444
